threshold,recall,precision
0.027852686122059822,1.0,0.439
0.028319211676716805,0.9994305239179955,0.4420654911838791
0.028707323595881462,0.9977220956719818,0.4446700507614213
0.028773117810487747,0.9977220956719818,0.44489588623666837
0.02905879355967045,0.9977220956719818,0.4460285132382892
0.02919127605855465,0.9977220956719818,0.44625573102394295
0.029258403927087784,0.9977220956719818,0.44648318042813456
0.029277918860316277,0.9977220956719818,0.44785276073619634
0.029549911618232727,0.9977220956719818,0.44808184143222507
0.02966214343905449,0.9977220956719818,0.4485407066052227
0.02977352775633335,0.9977220956719818,0.449115611381697
0.02995852380990982,0.9977220956719818,0.4494612621857363
0.030027788132429123,0.9977220956719818,0.44957659738260203
0.03016561269760132,0.9971526195899773,0.449435318275154
0.030538730323314667,0.9971526195899773,0.4495507060333761
0.030700048431754112,0.9971526195899773,0.44966615305598356
0.03077138401567936,0.9971526195899773,0.4497816593886463
0.030963853001594543,0.9971526195899773,0.4498972250770812
0.031494006514549255,0.9971526195899773,0.45001285016705217
0.031856268644332886,0.9971526195899773,0.4501285347043702
0.03185635432600975,0.9971526195899773,0.4507078507078507
0.03227490186691284,0.9971526195899773,0.4511723782530276
0.03240476921200752,0.9971526195899773,0.4516378643280887
0.03240485116839409,0.9960136674259681,0.45182123482304315
0.032632939517498016,0.9960136674259681,0.45252263906856405
0.03286118060350418,0.9960136674259681,0.452639751552795
0.032938554883003235,0.9960136674259681,0.45275692466994566
0.0329386368393898,0.9960136674259681,0.452991452991453
0.03327463939785957,0.9960136674259681,0.45404984423676015
0.033374205231666565,0.9960136674259681,0.4544037412314887
0.03350936248898506,0.9960136674259681,0.4548764629388817
0.033509448170661926,0.9960136674259681,0.45499479708636836
0.03370197117328644,0.9960136674259681,0.45546875
0.033715490251779556,0.9960136674259681,0.4560625814863103
0.033852383494377136,0.9960136674259681,0.456419624217119
0.034115493297576904,0.9960136674259681,0.4566579634464752
0.034414660185575485,0.9960136674259681,0.4567772264298772
0.03443095088005066,0.9960136674259681,0.4571353894406691
0.034576769918203354,0.9960136674259681,0.4574941145697097
0.03485942259430885,0.9960136674259681,0.45773357759748756
0.03487350419163704,0.9960136674259681,0.4583333333333333
0.03488848730921745,0.9960136674259681,0.45869394177812745
0.03501598536968231,0.994874715261959,0.46046389035318924
