threshold,false_positive_rate,true_positive_rate,youden_j,cumulative_risky,cumulative_favorable,ks_gap,population_share
inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9834291338920593,0.0,0.0005694760820045558,0.0005694760820045558,0.0005694760820045558,0.0,0.0005694760820045558,0.00025
0.9827757477760315,0.0,0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,0.0,0.0011389521640091116,0.0005
0.9823428988456726,0.0,0.0017084282460136675,0.0017084282460136675,0.0017084282460136675,0.0,0.0017084282460136675,0.00075
0.9822720289230347,0.0,0.002277904328018223,0.002277904328018223,0.002277904328018223,0.0,0.002277904328018223,0.001
0.9821620583534241,0.0,0.0028473804100227792,0.0028473804100227792,0.0028473804100227792,0.0,0.0028473804100227792,0.00125
0.9819844365119934,0.0,0.003416856492027335,0.003416856492027335,0.003416856492027335,0.0,0.003416856492027335,0.0015
0.9817487597465515,0.0,0.0056947608200455585,0.0056947608200455585,0.0056947608200455585,0.0,0.0056947608200455585,0.0025
0.9814522862434387,0.0,0.006264236902050114,0.006264236902050114,0.006264236902050114,0.0,0.006264236902050114,0.00275
0.9813360571861267,0.0,0.007972665148063782,0.007972665148063782,0.007972665148063782,0.0,0.007972665148063782,0.0035
0.9812078475952148,0.0,0.009111617312072893,0.009111617312072893,0.009111617312072893,0.0,0.009111617312072893,0.004
0.9811810255050659,0.0,0.00968109339407745,0.00968109339407745,0.00968109339407745,0.0,0.00968109339407745,0.00425
0.9810898900032043,0.0,0.01366742596810934,0.01366742596810934,0.01366742596810934,0.0,0.01366742596810934,0.006
0.980780303478241,0.0,0.017084282460136675,0.017084282460136675,0.017084282460136675,0.0,0.017084282460136675,0.0075
0.9807727336883545,0.0,0.01765375854214123,0.01765375854214123,0.01765375854214123,0.0,0.01765375854214123,0.00775
0.9806530475616455,0.0,0.018223234624145785,0.018223234624145785,0.018223234624145785,0.0,0.018223234624145785,0.008
0.9805307388305664,0.0,0.0193621867881549,0.0193621867881549,0.0193621867881549,0.0,0.0193621867881549,0.0085
0.9805251359939575,0.0,0.023917995444191344,0.023917995444191344,0.023917995444191344,0.0,0.023917995444191344,0.0105
0.9804453253746033,0.0,0.025056947608200455,0.025056947608200455,0.025056947608200455,0.0,0.025056947608200455,0.011
0.980417013168335,0.0,0.02562642369020501,0.02562642369020501,0.02562642369020501,0.0,0.02562642369020501,0.01125
0.9799456596374512,0.0,0.02619589977220957,0.02619589977220957,0.02619589977220957,0.0,0.02619589977220957,0.0115
0.9797287583351135,0.0,0.027904328018223234,0.027904328018223234,0.027904328018223234,0.0,0.027904328018223234,0.01225
