threshold,accuracy,precision,recall,f1,specificity,approval_rate,tn,fp,fn,tp
0.6,0.80475,0.8364389233954451,0.6902050113895216,0.7563182527301092,0.8943850267379679,0.63775,2007,237,544,1212
0.61,0.802,0.8370629370629371,0.6816628701594533,0.751412429378531,0.8961675579322638,0.6425,2011,233,559,1197
0.62,0.80125,0.8415067519545132,0.6742596810933941,0.748656338918748,0.9006238859180036,0.64825,2021,223,572,1184
0.63,0.798,0.841991341991342,0.6645785876993167,0.7428389560789306,0.9024064171122995,0.6535,2025,219,589,1167
0.64,0.79575,0.8419519300801165,0.6583143507972665,0.7388942154042826,0.9032976827094474,0.65675,2027,217,600,1156
0.65,0.79425,0.845299777942265,0.6503416856492027,0.7351142581268104,0.9068627450980392,0.66225,2035,209,614,1142
0.66,0.79175,0.8467317806160781,0.6417995444191344,0.7301587301587301,0.9090909090909091,0.66725,2040,204,629,1127
0.67,0.789,0.8491577335375191,0.6315489749430524,0.7243631613324625,0.9122103386809269,0.6735,2047,197,647,1109
0.68,0.788,0.8508500772797527,0.626993166287016,0.7219672131147541,0.9139928698752228,0.6765,2051,193,655,1101
0.69,0.786,0.8515625,0.6207289293849658,0.7180500658761528,0.9153297682709447,0.68,2054,190,666,1090
0.7,0.7845,0.8530805687203792,0.6150341685649203,0.71475843812045,0.9171122994652406,0.6835,2058,186,676,1080
0.71,0.78175,0.8529176658673061,0.607630979498861,0.7096774193548387,0.9180035650623886,0.68725,2060,184,689,1067
0.72,0.77825,0.8529650690495532,0.5979498861047836,0.7030465349849347,0.9193404634581105,0.69225,2063,181,706,1050
0.73,0.77575,0.8582151793160967,0.585990888382688,0.6964467005076143,0.9242424242424242,0.70025,2074,170,727,1029
0.74,0.77325,0.8606627017841971,0.576879271070615,0.6907603136720082,0.9269162210338681,0.70575,2080,164,743,1013
0.75,0.771,0.8633217993079585,0.5683371298405467,0.6854395604395604,0.9295900178253119,0.711,2086,158,758,998
0.76,0.76875,0.8654353562005277,0.5603644646924829,0.6802627030763913,0.9318181818181818,0.71575,2091,153,772,984
0.77,0.76725,0.8706199460916442,0.5518223234624146,0.6754966887417219,0.9358288770053476,0.72175,2100,144,787,969
0.78,0.76525,0.8771929824561403,0.541002277904328,0.6692497358224727,0.9407308377896613,0.72925,2111,133,806,950
0.79,0.7605,0.8919449901768173,0.5170842824601367,0.65465032444124,0.9509803921568627,0.7455,2134,110,848,908
0.8,0.7555,0.9052083333333333,0.494874715261959,0.6399116347569955,0.9594474153297683,0.76,2153,91,887,869
0.81,0.75475,0.9171151776103337,0.48519362186788156,0.6346368715083799,0.9656862745098039,0.76775,2167,77,904,852
0.82,0.75275,0.9246954595791805,0.4755125284738041,0.6280556600225649,0.9696969696969697,0.77425,2176,68,921,835
0.83,0.74625,0.9303135888501742,0.4561503416856492,0.6121513183034009,0.9732620320855615,0.78475,2184,60,955,801
0.84,0.738,0.9413965087281796,0.4299544419134396,0.5903049257232212,0.9790552584670231,0.7995,2197,47,1001,755
0.85,0.729,0.9409448818897638,0.4083143507972665,0.5694996028594123,0.9799465240641712,0.8095,2199,45,1039,717
0.86,0.724,0.9540389972144847,0.39009111617312076,0.5537590945836701,0.9852941176470589,0.8205,2211,33,1071,685
0.87,0.7175,0.956268221574344,0.3735763097949886,0.5372645372645373,0.9866310160427807,0.8285,2214,30,1100,656
0.88,0.71125,0.963020030816641,0.3559225512528474,0.5197505197505198,0.9893048128342246,0.83775,2220,24,1131,625
0.89,0.70625,0.9633173843700159,0.3439635535307517,0.5069240453210239,0.9897504456327986,0.84325,2221,23,1152,604
0.9,0.6975,0.9658703071672355,0.3223234624145786,0.48334756618274977,0.9910873440285205,0.8535,2224,20,1190,566
0.91,0.69,0.9690909090909091,0.30353075170842825,0.46227233304423243,0.9924242424242424,0.8625,2227,17,1223,533
0.92,0.68075,0.9761431411530815,0.27961275626423693,0.434705621956618,0.9946524064171123,0.87425,2232,12,1265,491
0.93,0.67225,0.9764453961456103,0.25968109339407747,0.41025641025641024,0.9950980392156863,0.88325,2233,11,1300,456
0.94,0.659,0.99,0.2255125284738041,0.3673469387755102,0.9982174688057041,0.9,2240,4,1360,396
0.95,0.6325,0.9965277777777778,0.16343963553530752,0.2808219178082192,0.999554367201426,0.928,2243,1,1469,287
