setting,accuracy,precision,recall,f1,roc_auc
Without SMOTE,0.914375,0.9448698315467075,0.8593314763231198,0.900072939460248,0.9735383940019833
With SMOTE 0.90,0.918125,0.942684766214178,0.8704735376044568,0.9051412020275162,0.9742308251062728
