recall,precision
0.0,1.0
0.0005,0.9998818143851508
0.001,0.9997636287703017
0.0015,0.9996454431554525
0.002,0.9995272575406032
0.0025,0.999409071925754
0.003,0.9992908863109049
0.0035,0.9991727006960557
0.004,0.9990545150812065
0.0045000000000000005,0.9989363294663574
0.005,0.9988181438515081
0.0055,0.9986999582366589
0.006,0.9985817726218097
0.006500000000000001,0.9984635870069606
0.007,0.9983454013921114
0.0075,0.9982272157772621
0.008,0.998109030162413
0.0085,0.9979908445475638
0.009000000000000001,0.9978726589327146
0.0095,0.9977544733178654
0.01,0.9976362877030163
0.0105,0.997518102088167
0.011,0.9973999164733178
0.0115,0.9972817308584687
0.012,0.9971635452436195
0.0125,0.9970453596287703
0.013000000000000001,0.9969271740139212
0.0135,0.996808988399072
0.014,0.9966908027842227
0.0145,0.9965726171693735
0.015,0.9964544315545244
0.0155,0.9963362459396752
0.016,0.996218060324826
0.0165,0.9960998747099769
0.017,0.9959816890951276
0.0175,0.9958635034802784
0.018000000000000002,0.9957453178654292
0.0185,0.9956271322505801
0.019,0.9955089466357309
0.0195,0.9953907610208816
0.02,0.9952725754060325
0.0205,0.9951543897911833
0.021,0.9950362041763341
0.021500000000000002,0.9949180185614849
0.022,0.9947998329466358
0.0225,0.9946816473317865
0.023,0.9945634617169373
0.0235,0.9944452761020882
0.024,0.994327090487239
0.0245,0.9942089048723898
0.025,0.9940907192575406
0.025500000000000002,0.9939725336426914
0.026000000000000002,0.9938543480278422
0.0265,0.993736162412993
0.027,0.9936179767981439
0.0275,0.9934997911832947
0.028,0.9933816055684455
0.0285,0.9932634199535962
0.029,0.9931452343387471
0.029500000000000002,0.9930270487238979
0.03,0.9929088631090487
0.0305,0.9927906774941996
0.031,0.9926724918793504
0.0315,0.9925543062645011
0.032,0.9924361206496519
0.0325,0.9923179350348028
0.033,0.9921997494199536
0.0335,0.9920815638051044
0.034,0.9919633781902553
0.0345,0.991845192575406
0.035,0.9917270069605568
0.035500000000000004,0.9916088213457077
0.036000000000000004,0.9914906357308585
0.0365,0.9913724501160093
0.037,0.99125426450116
0.0375,0.991136078886311
0.038,0.9910178932714617
0.0385,0.9908997076566125
0.039,0.9907815220417634
0.0395,0.9906633364269142
0.04,0.990545150812065
0.0405,0.9904269651972157
0.041,0.9903087795823666
0.0415,0.9901905939675174
0.042,0.9900724083526682
0.0425,0.9899542227378191
0.043000000000000003,0.9898360371229699
0.043500000000000004,0.9897178515081206
0.044,0.9895996658932714
0.0445,0.9894814802784223
0.045,0.9893632946635731
0.0455,0.9892451090487239
0.046,0.9891269234338748
0.0465,0.9890087378190255
0.047,0.9888905522041763
0.0475,0.9887723665893271
0.048,0.988654180974478
0.0485,0.9885359953596288
0.049,0.9884178097447796
0.0495,0.9882996241299304
0.05,0.9881814385150812
0.0505,0.988063252900232
0.051000000000000004,0.9879450672853828
0.051500000000000004,0.9878268816705337
0.052000000000000005,0.9877086960556845
0.0525,0.9875905104408352
0.053,0.9874723248259861
0.0535,0.9873541392111369
0.054,0.9872359535962877
0.0545,0.9871177679814385
0.055,0.9869995823665894
0.0555,0.9868813967517401
0.056,0.9867632111368909
0.0565,0.9866450255220418
0.057,0.9865268399071926
0.0575,0.9864086542923434
0.058,0.9862904686774943
0.0585,0.986172283062645
0.059000000000000004,0.9860540974477958
0.059500000000000004,0.9859359118329466
0.06,0.9858177262180975
0.0605,0.9856995406032483
0.061,0.985581354988399
0.0615,0.9854631693735499
0.062,0.9853449837587007
0.0625,0.9852267981438515
0.063,0.9851086125290023
0.0635,0.9849904269141532
0.064,0.984872241299304
0.0645,0.9847540556844547
0.065,0.9846358700696056
0.0655,0.9845176844547564
0.066,0.9843994988399072
0.0665,0.984281313225058
0.067,0.9841631276102089
0.0675,0.9840449419953596
0.068,0.9839267563805104
0.0685,0.9838085707656613
0.069,0.9836903851508121
0.0695,0.9835721995359629
0.07,0.9834540139211136
0.07050000000000001,0.9833358283062645
0.07100000000000001,0.9832176426914153
0.07150000000000001,0.9830994570765661
0.07200000000000001,0.982981271461717
0.0725,0.9828630858468678
0.073,0.9827449002320185
0.0735,0.9826267146171694
0.074,0.9825085290023202
0.0745,0.982390343387471
0.075,0.9822721577726218
0.0755,0.9821539721577727
0.076,0.9820357865429235
0.0765,0.9819176009280742
0.077,0.981799415313225
0.0775,0.9816812296983759
0.078,0.9815630440835267
0.0785,0.9814448584686775
0.079,0.9813266728538284
0.0795,0.9812084872389791
0.08,0.9810903016241299
0.0805,0.9809721160092808
0.081,0.9808539303944316
0.0815,0.9807357447795824
0.082,0.9806175591647331
0.0825,0.980499373549884
0.083,0.9803811879350348
0.0835,0.9802630023201856
0.084,0.9801448167053365
0.0845,0.9800266310904873
0.085,0.979908445475638
0.0855,0.9797902598607888
0.08600000000000001,0.9796720742459397
0.08650000000000001,0.9795538886310905
0.08700000000000001,0.9794357030162413
0.08750000000000001,0.9793175174013922
0.088,0.979199331786543
0.0885,0.9790811461716937
0.089,0.9789629605568445
0.0895,0.9788447749419954
0.09,0.9787265893271462
0.0905,0.978608403712297
0.091,0.9784902180974479
0.0915,0.9783720324825986
0.092,0.9782538468677494
0.0925,0.9781356612529002
0.093,0.9780174756380511
0.0935,0.9778992900232019
0.094,0.9777811044083526
0.0945,0.9776629187935035
0.095,0.9775447331786543
0.0955,0.9774265475638051
0.096,0.9773083619489559
0.0965,0.9771901763341068
0.097,0.9770719907192575
0.0975,0.9769538051044083
0.098,0.9768356194895592
0.0985,0.97671743387471
0.099,0.9765992482598608
0.0995,0.9764810626450116
0.1,0.9763628770301624
0.1005,0.9762446914153132
0.101,0.976126505800464
0.1015,0.9760083201856149
0.10200000000000001,0.9758901345707657
0.10250000000000001,0.9757719489559165
0.10300000000000001,0.9756537633410673
0.10350000000000001,0.9755355777262181
0.10400000000000001,0.9754173921113689
0.1045,0.9752992064965197
0.105,0.9751810208816706
0.1055,0.9750628352668214
0.106,0.9749446496519721
0.1065,0.974826464037123
0.107,0.9747082784222738
0.1075,0.9745900928074246
0.108,0.9744719071925754
0.1085,0.9743537215777263
0.109,0.974235535962877
0.1095,0.9741173503480278
0.11,0.9739991647331787
0.1105,0.9738809791183295
0.111,0.9737627935034803
0.1115,0.973644607888631
0.112,0.9735264222737819
0.1125,0.9734082366589327
0.113,0.9732900510440835
0.1135,0.9731718654292344
0.114,0.9730536798143852
0.1145,0.972935494199536
0.115,0.9728173085846867
0.1155,0.9726991229698376
0.116,0.9725809373549884
0.1165,0.9724627517401392
0.117,0.9723445661252901
0.11750000000000001,0.9722263805104409
0.11800000000000001,0.9721081948955916
0.11850000000000001,0.9719900092807424
0.11900000000000001,0.9718718236658933
0.11950000000000001,0.9717536380510441
0.12,0.9716354524361949
0.1205,0.9715172668213458
0.121,0.9713990812064965
0.1215,0.9712808955916473
0.122,0.9711627099767982
0.1225,0.971044524361949
0.123,0.9709263387470998
0.1235,0.9708081531322506
0.124,0.9706899675174014
0.1245,0.9705717819025522
0.125,0.970453596287703
0.1255,0.9703354106728539
0.126,0.9702172250580047
0.1265,0.9700990394431555
0.127,0.9699808538283062
0.1275,0.9698626682134571
0.128,0.9697444825986079
0.1285,0.9696262969837587
0.129,0.9695081113689096
0.1295,0.9693899257540604
0.13,0.9692717401392111
0.1305,0.9691535545243619
0.131,0.9690353689095128
0.1315,0.9689171832946636
0.132,0.9687989976798144
0.1325,0.9686808120649653
0.133,0.968562626450116
0.1335,0.9684444408352668
0.134,0.9683262552204176
0.1345,0.9682080696055685
0.135,0.9680898839907193
0.1355,0.96797169837587
0.136,0.9678535127610209
0.1365,0.9677353271461717
0.137,0.9676171415313225
0.1375,0.9674989559164733
0.138,0.9673807703016242
0.1385,0.967262584686775
0.139,0.9671443990719257
0.1395,0.9670262134570766
0.14,0.9669080278422274
0.1405,0.9667898422273782
0.14100000000000001,0.966671656612529
0.14150000000000001,0.9665534709976799
0.14200000000000002,0.9664352853828306
0.14250000000000002,0.9663170997679814
0.14300000000000002,0.9661989141531323
0.14350000000000002,0.9660807285382831
0.14400000000000002,0.9659625429234339
0.1445,0.9658443573085848
0.145,0.9657261716937355
0.1455,0.9656079860788863
0.146,0.9654898004640371
0.1465,0.965371614849188
0.147,0.9652534292343388
0.1475,0.9651352436194895
0.148,0.9650170580046404
0.1485,0.9648988723897912
